"","REESSB","Year","Scenario"
"1",2.24071154495872,2019,1
"2",3.55070098651493,2021,1
"3",4.33799478868175,2023,1
"4",4.40714486264843,2025,1
"5",3.62690801438941,2027,1
"6",3.37670969293192,2029,1
"7",2.54751218257101,2031,1
"8",2.57217404963115,2033,1
"9",1.8141478044352,2035,1
"10",1.17948934476283,2037,1
"11",0.840152682999374,2039,1
"12",1.56844192263846,2019,2
"13",1.43758019898963,2021,2
"14",2.36834945911673,2023,2
"15",2.92540024519452,2025,2
"16",2.05042192297927,2027,2
"17",2.0206444346465,2029,2
"18",1.29730149431747,2031,2
"19",0.598872649543326,2033,2
"20",-0.300042185588012,2035,2
"21",-0.853330472495251,2037,2
"22",-0.922363981939687,2039,2
"23",3.67766927330575,2019,3
"24",4.01743356104253,2021,3
"25",4.7865545017164,2023,3
"26",3.96656039670248,2025,3
"27",4.16402057541389,2027,3
"28",3.18728674767679,2029,3
"29",3.64782197425781,2031,3
"30",3.16901690463249,2033,3
"31",1.66803235712729,2035,3
"32",1.1853782073843,2037,3
"33",-0.342730377222691,2039,3
"34",1.81286268909562,2019,4
"35",2.12059666216476,2021,4
"36",2.46112602290471,2023,4
"37",2.80616567617587,2025,4
"38",3.4216254209249,2027,4
"39",3.6240556924996,2029,4
"40",3.59059823214287,2031,4
"41",3.97990050719044,2033,4
"42",3.43165584072225,2035,4
"43",3.70292348238024,2037,4
"44",3.33780103220665,2039,4
"45",0.317549814856618,2019,5
"46",7.58588422020708,2021,5
"47",17.3165731918778,2023,5
"48",30.17785184537,2025,5
"49",32.1837527354956,2027,5
"50",17.8063428174595,2029,5
"51",-8.104311859456,2031,5
"52",-16.7170760054801,2033,5
"53",-17.2053894600638,2035,5
"54",-13.9029028563212,2037,5
"55",-13.2314984410722,2039,5
"56",-0.42772866508792,2019,6
"57",8.02172222585408,2021,6
"58",17.4125784817678,2023,6
"59",22.3385675968219,2025,6
"60",16.5763007868165,2027,6
"61",-0.0892050509349399,2029,6
"62",-12.956084768643,2031,6
"63",-16.5227736369541,2033,6
"64",-16.0028377934256,2035,6
"65",-14.3699111078996,2037,6
"66",-14.7643114573959,2039,6
"67",0.529528882808056,2019,7
"68",7.28236200600025,2021,7
"69",6.97268896534372,2023,7
"70",0.108305570443389,2025,7
"71",-5.65802124140338,2027,7
"72",-7.98017888071633,2029,7
"73",-10.3333963445217,2031,7
"74",-11.1726395621408,2033,7
"75",-13.0798330500869,2035,7
"76",-14.1707411079221,2037,7
"77",-14.7913452994237,2039,7
"78",0.243559391495209,2019,8
"79",8.54597327799239,2021,8
"80",15.9207908383834,2023,8
"81",23.8012205439067,2025,8
"82",31.8236266925684,2027,8
"83",37.1673309080444,2029,8
"84",33.7907829818704,2031,8
"85",26.0648236987765,2033,8
"86",7.93690226868349,2035,8
"87",-9.13765802495274,2037,8
"88",-20.9678235164094,2039,8
"89",8.55109570587514,2019,9
"90",11.8064402309973,2021,9
"91",11.2519251897715,2023,9
"92",11.5424910139425,2025,9
"93",11.4637831821494,2027,9
"94",12.1751691883281,2029,9
"95",13.8771397742354,2031,9
"96",15.3906671334618,2033,9
"97",13.4506673199499,2035,9
"98",12.4415727206041,2037,9
"99",11.7500608074636,2039,9
"100",7.05136463521812,2019,10
"101",10.2089858749434,2021,10
"102",10.7418974655338,2023,10
"103",11.8917071566038,2025,10
"104",12.1296888235592,2027,10
"105",12.5083110626729,2029,10
"106",13.947540712177,2031,10
"107",14.5918245586642,2033,10
"108",14.2821835184789,2035,10
"109",13.4221688781085,2037,10
"110",9.9726311760587,2039,10
"111",7.95152027516392,2019,11
"112",12.2796138010091,2021,11
"113",12.0949762935905,2023,11
"114",11.2537012796665,2025,11
"115",10.835200867953,2027,11
"116",11.3030984714305,2029,11
"117",11.2897921012388,2031,11
"118",12.0018159233332,2033,11
"119",12.788536101851,2035,11
"120",11.8094666038367,2037,11
"121",12.1437894124703,2039,11
"122",7.42704586932357,2019,12
"123",10.2255981525681,2021,12
"124",10.1117319620417,2023,12
"125",10.2510915189125,2025,12
"126",10.394811145058,2027,12
"127",11.1851581345141,2029,12
"128",11.7865021202024,2031,12
"129",13.7506441595064,2033,12
"130",14.6892350502108,2035,12
"131",15.7871447676808,2037,12
"132",17.0285452046349,2039,12
"133",3.14260432999492,2019,13
"134",12.6718532818121,2021,13
"135",22.8529134450278,2023,13
"136",30.6807620811138,2025,13
"137",23.7019581447706,2027,13
"138",3.05603355410575,2029,13
"139",-13.6166203940503,2031,13
"140",-14.5816693883065,2033,13
"141",-14.5757510444769,2035,13
"142",-11.090763187589,2037,13
"143",-12.0783369841969,2039,13
"144",3.50829371836914,2019,14
"145",13.1212798819634,2021,14
"146",20.9690055806577,2023,14
"147",27.256659666435,2025,14
"148",18.0939375418242,2027,14
"149",-0.32926293915392,2029,14
"150",-13.5787113903358,2031,14
"151",-15.6642191699868,2033,14
"152",-13.6823985654438,2035,14
"153",-12.6454952666796,2037,14
"154",-13.4706341422572,2039,14
"155",1.78068551361757,2019,15
"156",10.2589910389653,2021,15
"157",8.45716472058027,2023,15
"158",3.5618856245866,2025,15
"159",-4.97683094272754,2027,15
"160",-8.46560265910802,2029,15
"161",-8.46223190431922,2031,15
"162",-7.71565805453799,2033,15
"163",-9.57354236828852,2035,15
"164",-13.1334822087053,2037,15
"165",-17.0825375267338,2039,15
"166",3.17740515324855,2019,16
"167",12.5929981208559,2021,16
"168",17.6349696858569,2023,16
"169",25.9852188640477,2025,16
"170",30.2558736255411,2027,16
"171",30.2535032494004,2029,16
"172",27.0221749206685,2031,16
"173",14.0325628858948,2033,16
"174",-5.82201035642162,2035,16
"175",-17.918323777604,2037,16
"176",-21.9165122262988,2039,16
"177",3.07029837190133,2019,17
"178",13.4002159733371,2021,17
"179",24.8424910546102,2023,17
"180",34.5578929003413,2025,17
"181",33.8047187672964,2027,17
"182",21.3449390827654,2029,17
"183",5.1301720277256,2031,17
"184",-0.930209137396,2033,17
"185",-3.26994866223336,2035,17
"186",-2.18645618341846,2037,17
"187",-2.84124920391222,2039,17
"188",0.259854014697925,2019,18
"189",8.05349122783669,2021,18
"190",18.4577177126941,2023,18
"191",28.6104331557012,2025,18
"192",28.1422724254331,2027,18
"193",18.8247329279142,2029,18
"194",4.67158397459042,2031,18
"195",-2.12424938744074,2033,18
"196",-3.10639652301859,2035,18
"197",-5.40572413846541,2037,18
"198",-7.30847678619758,2039,18
"199",2.47690823974298,2019,19
"200",11.1983038016066,2021,19
"201",10.8879813823294,2023,19
"202",6.94866546061647,2025,19
"203",0.967465931216528,2027,19
"204",1.55535611371176,2029,19
"205",2.63780719788577,2031,19
"206",3.25919779854214,2033,19
"207",-0.160338287897215,2035,19
"208",-4.41098624846996,2037,19
"209",-9.48044398992326,2039,19
"210",3.13568312576534,2019,20
"211",11.7943272631668,2021,20
"212",19.1652208175636,2023,20
"213",27.6588746984568,2025,20
"214",33.8587255844333,2027,20
"215",40.2929510497625,2029,20
"216",43.8678828740409,2031,20
"217",41.9243974890595,2033,20
"218",27.6164992642172,2035,20
"219",3.7012564434579,2037,20
"220",-13.6698576551,2039,20
"221",8.2241123703032,2019,21
"222",12.7334406827623,2020,21
"223",17.215169246135,2021,21
"224",23.8041703269404,2022,21
"225",27.1782446778919,2023,21
"226",25.1072349475541,2024,21
"227",19.9036698942167,2025,21
"228",9.49904194800213,2026,21
"229",3.26208064301475,2027,21
"230",-0.589520551446929,2028,21
"231",-4.03471988302777,2029,21
"232",-5.37448981116732,2030,21
"233",-6.47144309475705,2031,21
"234",-6.90575542336587,2032,21
"235",-7.43915008629665,2033,21
"236",-8.69250786993413,2034,21
"237",-10.7365158202355,2035,21
"238",-9.7798256262519,2036,21
"239",-11.0854004470005,2037,21
"240",-12.2234877306557,2038,21
"241",-13.2385968431161,2039,21
"242",10.3193029210006,2019,22
"243",13.7725912673705,2020,22
"244",17.2050179602189,2021,22
"245",20.5949209606623,2022,22
"246",22.6816393408539,2023,22
"247",18.8350234267481,2024,22
"248",13.3563050674091,2025,22
"249",6.92266605780222,2026,22
"250",-1.85651350063096,2027,22
"251",-5.58225960296761,2028,22
"252",-8.17215323561089,2029,22
"253",-11.0172805948869,2030,22
"254",-10.1287406076064,2031,22
"255",-12.434873623521,2032,22
"256",-12.416221402794,2033,22
"257",-12.9326810685832,2034,22
"258",-13.1510019528394,2035,22
"259",-13.5251384103025,2036,22
"260",-14.6530600276378,2037,22
"261",-16.7050665196735,2038,22
"262",-17.8419116313836,2039,22
"263",7.75785876429362,2019,23
"264",9.82410619979534,2020,23
"265",11.2986368389921,2021,23
"266",10.8995699177075,2022,23
"267",7.87530984722824,2023,23
"268",4.7927869059214,2024,23
"269",2.2041213379185,2025,23
"270",-1.349501061068,2026,23
"271",-1.39362392307072,2027,23
"272",-2.46439200007262,2028,23
"273",-2.1410400174705,2029,23
"274",-3.69796340899043,2030,23
"275",-4.55832851054856,2031,23
"276",-5.22673197949235,2032,23
"277",-5.8925613126332,2033,23
"278",-8.02642055779424,2034,23
"279",-9.92420872514393,2035,23
"280",-9.5003890943537,2036,23
"281",-12.1468192230971,2037,23
"282",-14.1851664094815,2038,23
"283",-13.8693398297488,2039,23
"284",6.82036169564231,2019,24
"285",12.1441127925994,2020,24
"286",15.4934957739249,2021,24
"287",18.9260549293469,2022,24
"288",23.5271707724632,2023,24
"289",26.9064114235174,2024,24
"290",29.4407619971519,2025,24
"291",30.3183142454914,2026,24
"292",29.6389518853968,2027,24
"293",29.3305856882412,2028,24
"294",28.0517389893307,2029,24
"295",24.5387891051252,2030,24
"296",18.1100176509826,2031,24
"297",11.5707392072238,2032,24
"298",2.14060335662973,2033,24
"299",-7.67398341745504,2034,24
"300",-12.4774724955146,2035,24
"301",-15.9353815765285,2036,24
"302",-18.2412149138497,2037,24
"303",-19.0175221514571,2038,24
"304",-17.8661241008733,2039,24
"305",-1.12617075591684,2019,25
"306",-1.50644603511801,2021,25
"307",-0.887151824004908,2023,25
"308",0.260528667771419,2025,25
"309",-0.00457626946607273,2027,25
"310",0.0726570730939445,2029,25
"311",0.15838834188424,2031,25
"312",0.09369459751026,2033,25
"313",-0.128847991524227,2035,25
"314",0.141056863381225,2037,25
"315",0.216211382898358,2039,25
"316",-1.19945643199165,2019,26
"317",-1.77683323891908,2021,26
"318",-1.76730994213143,2023,26
"319",-0.125245379451339,2025,26
"320",0.0623969379496837,2027,26
"321",0.344916031674223,2029,26
"322",-0.0116431083447353,2031,26
"323",0.164889822267033,2033,26
"324",-0.186209669612008,2035,26
"325",0.0813977790903553,2037,26
"326",0.00186564102120263,2039,26
"327",-1.34832995197609,2019,27
"328",-1.88998373487642,2021,27
"329",-1.78143089687133,2023,27
"330",-0.147559294844771,2025,27
"331",0.338655630027154,2027,27
"332",0.765097686709769,2029,27
"333",0.335159650224263,2031,27
"334",0.422890101845017,2033,27
"335",0.452292350945502,2035,27
"336",-0.11934008804016,2037,27
"337",0.152472175674036,2039,27
"338",-1.1869543816665,2019,28
"339",-1.22358016019931,2021,28
"340",-1.47754496392003,2023,28
"341",-1.87706825433962,2025,28
"342",-1.55469287681972,2027,28
"343",-2.24775991016626,2029,28
"344",-2.06817261774405,2031,28
"345",-2.55286729766014,2033,28
"346",-2.60626500762039,2035,28
"347",-2.18752865781954,2037,28
"348",-0.989744023070051,2039,28
"349",-1.32158856726525,2019,29
"350",-1.9079498449962,2021,29
"351",-5.22322659270936,2023,29
"352",-5.6278550449297,2025,29
"353",-6.33143641131636,2027,29
"354",-7.59820257101182,2029,29
"355",-9.59980394810309,2031,29
"356",-11.7517262142086,2033,29
"357",-12.6330771768638,2035,29
"358",-12.3891872566463,2037,29
"359",-12.8700138462946,2039,29
"360",-2.02722965409585,2019,30
"361",-2.6724180941189,2021,30
"362",-5.78824921876118,2023,30
"363",-6.02992579338117,2025,30
"364",-7.28544376315052,2027,30
"365",-8.16239074434329,2029,30
"366",-10.4525385626565,2031,30
"367",-12.17748352017,2033,30
"368",-13.3930468352353,2035,30
"369",-13.2649072866501,2037,30
"370",-12.8134834987071,2039,30
"371",-1.64667917936472,2019,31
"372",-2.07682973066365,2021,31
"373",-5.31423388029058,2023,31
"374",-5.76795826282774,2025,31
"375",-6.47173414012246,2027,31
"376",-8.18077883323633,2029,31
"377",-9.74360230649002,2031,31
"378",-11.4047068627085,2033,31
"379",-12.9441214116042,2035,31
"380",-12.4984881559193,2037,31
"381",-12.6885946705674,2039,31
"382",-1.51072337889783,2019,32
"383",-1.44115204060146,2021,32
"384",-4.55689004053234,2023,32
"385",-6.63634704361028,2025,32
"386",-9.01360806685836,2027,32
"387",-10.4700744931827,2029,32
"388",-13.4958205928839,2031,32
"389",-16.4487805984626,2033,32
"390",-18.8542701632925,2035,32
"391",-18.4999098423291,2037,32
"392",-16.8523722952872,2039,32
