"","rhoF","Year","Scenario"
"935",-0.189033595038247,2022,17
"936",-0.218186179222904,2023,17
"937",-0.236640449230777,2024,17
"938",-0.261377946148464,2025,17
"939",-0.279693553825126,2026,17
"940",-0.337477502562999,2027,17
"941",-0.369944695266584,2028,17
"942",-0.386076651107247,2029,17
"943",-0.389196985725067,2030,17
"944",-0.380489488934016,2031,17
"945",-0.36399364615293,2032,17
"946",-0.34299873814461,2033,17
"947",-0.3167644126788,2034,17
"948",-0.290766435778097,2035,17
"949",-0.278107794092895,2036,17
"950",-0.267610546560326,2037,17
"951",-0.266121715255615,2038,17
"952",-0.264116739623693,2039,17
"953",NA,1984,18
"954",NA,1985,18
"955",NA,1986,18
"956",NA,1987,18
"957",NA,1988,18
"958",NA,1989,18
"959",NA,1990,18
"960",NA,1991,18
"961",NA,1992,18
"962",NA,1993,18
"963",NA,1994,18
"964",NA,1995,18
"965",NA,1996,18
"966",NA,1997,18
"967",NA,1998,18
"968",NA,1999,18
"969",NA,2000,18
"970",NA,2001,18
"971",NA,2002,18
"972",NA,2003,18
"973",NA,2004,18
"974",NA,2005,18
"975",NA,2006,18
"976",NA,2007,18
"977",NA,2008,18
"978",NA,2009,18
"979",NA,2010,18
"980",NA,2011,18
"981",NA,2012,18
"982",NA,2013,18
"983",NA,2014,18
"984",NA,2015,18
"985",NA,2016,18
"986",NA,2017,18
"987",NA,2018,18
"988",NA,2019,18
"989",-0.12511922925822,2020,18
"990",-0.155903660770479,2021,18
"991",-0.183680420578191,2022,18
"992",-0.204080281634225,2023,18
"993",-0.221549380054301,2024,18
"994",-0.24292574128948,2025,18
"995",-0.264815228803128,2026,18
"996",-0.309260638909313,2027,18
"997",-0.344111007829874,2028,18
"998",-0.3628169418425,2029,18
"999",-0.365252791013061,2030,18
"1000",-0.362828461442525,2031,18
"1001",-0.346255042449732,2032,18
"1002",-0.328540348010967,2033,18
"1003",-0.303951292471434,2034,18
"1004",-0.287465899097566,2035,18
"1005",-0.271444414668536,2036,18
"1006",-0.263280528941056,2037,18
"1007",-0.252529114694127,2038,18
"1008",-0.258812873711384,2039,18
"1009",NA,1984,19
"1010",NA,1985,19
"1011",NA,1986,19
"1012",NA,1987,19
"1013",NA,1988,19
"1014",NA,1989,19
"1015",NA,1990,19
"1016",NA,1991,19
"1017",NA,1992,19
"1018",NA,1993,19
"1019",NA,1994,19
"1020",NA,1995,19
"1021",NA,1996,19
"1022",NA,1997,19
"1023",NA,1998,19
"1024",NA,1999,19
"1025",NA,2000,19
"1026",NA,2001,19
"1027",NA,2002,19
"1028",NA,2003,19
"1029",NA,2004,19
"1030",NA,2005,19
"1031",NA,2006,19
"1032",NA,2007,19
"1033",NA,2008,19
"1034",NA,2009,19
"1035",NA,2010,19
"1036",NA,2011,19
"1037",NA,2012,19
"1038",NA,2013,19
"1039",NA,2014,19
"1040",NA,2015,19
"1041",NA,2016,19
"1042",NA,2017,19
"1043",NA,2018,19
"1044",NA,2019,19
"1045",-0.129668332620541,2020,19
"1046",-0.178304734686621,2021,19
"1047",-0.21635234811375,2022,19
"1048",-0.24888280793249,2023,19
"1049",-0.266421044355389,2024,19
"1050",-0.275379677350324,2025,19
"1051",-0.270102344305327,2026,19
"1052",-0.281011221270226,2027,19
"1053",-0.275442919169776,2028,19
"1054",-0.272002011732199,2029,19
"1055",-0.261666593981389,2030,19
"1056",-0.259381280061898,2031,19
"1057",-0.262582511506554,2032,19
"1058",-0.266443591741667,2033,19
"1059",-0.27078719914049,2034,19
"1060",-0.277442425671695,2035,19
"1061",-0.28119221535029,2036,19
"1062",-0.284554802870623,2037,19
"1063",-0.279227676007327,2038,19
"1064",-0.271187016381811,2039,19
"1065",NA,1984,20
"1066",NA,1985,20
"1067",NA,1986,20
"1068",NA,1987,20
"1069",NA,1988,20
"1070",NA,1989,20
"1071",NA,1990,20
"1072",NA,1991,20
"1073",NA,1992,20
"1074",NA,1993,20
"1075",NA,1994,20
"1076",NA,1995,20
"1077",NA,1996,20
"1078",NA,1997,20
"1079",NA,1998,20
"1080",NA,1999,20
"1081",NA,2000,20
"1082",NA,2001,20
"1083",NA,2002,20
"1084",NA,2003,20
"1085",NA,2004,20
"1086",NA,2005,20
"1087",NA,2006,20
"1088",NA,2007,20
"1089",NA,2008,20
"1090",NA,2009,20
"1091",NA,2010,20
"1092",NA,2011,20
"1093",NA,2012,20
"1094",NA,2013,20
"1095",NA,2014,20
"1096",NA,2015,20
"1097",NA,2016,20
"1098",NA,2017,20
"1099",NA,2018,20
"1100",NA,2019,20
"1101",-0.125202378258238,2020,20
"1102",-0.167100739594333,2021,20
"1103",-0.202306806175888,2022,20
"1104",-0.223053933709301,2023,20
"1105",-0.245737564950264,2024,20
"1106",-0.258117495058038,2025,20
"1107",-0.264546750043202,2026,20
"1108",-0.302322937019452,2027,20
"1109",-0.324482159137458,2028,20
"1110",-0.345570543554571,2029,20
"1111",-0.359032211536658,2030,20
"1112",-0.373043388770015,2031,20
"1113",-0.381532819849541,2032,20
"1114",-0.393058949170315,2033,20
"1115",-0.405648628991352,2034,20
"1116",-0.410696378580214,2035,20
"1117",-0.411486472879067,2036,20
"1118",-0.409578094403767,2037,20
"1119",-0.392180539230164,2038,20
"1120",-0.363280415428393,2039,20
"1121",NA,1984,21
"1122",NA,1985,21
"1123",NA,1986,21
"1124",NA,1987,21
"1125",NA,1988,21
"1126",NA,1989,21
"1127",NA,1990,21
"1128",NA,1991,21
"1129",NA,1992,21
"1130",NA,1993,21
"1131",NA,1994,21
"1132",NA,1995,21
"1133",NA,1996,21
"1134",NA,1997,21
"1135",NA,1998,21
"1136",NA,1999,21
"1137",NA,2000,21
"1138",NA,2001,21
"1139",NA,2002,21
"1140",NA,2003,21
"1141",NA,2004,21
"1142",NA,2005,21
"1143",NA,2006,21
"1144",NA,2007,21
"1145",NA,2008,21
"1146",NA,2009,21
"1147",NA,2010,21
"1148",NA,2011,21
"1149",NA,2012,21
"1150",NA,2013,21
"1151",NA,2014,21
"1152",NA,2015,21
"1153",NA,2016,21
"1154",NA,2017,21
"1155",NA,2018,21
"1156",NA,2019,21
"1157",-0.123839006494599,2020,21
"1158",-0.165091953344549,2021,21
"1159",-0.1997769028385,2022,21
"1160",-0.224435969534139,2023,21
"1161",-0.255724241347667,2024,21
"1162",-0.279418139694573,2025,21
"1163",-0.310799236857887,2026,21
"1164",-0.369516350828067,2027,21
"1165",-0.381468976408347,2028,21
"1166",-0.35638853115051,2029,21
"1167",-0.329395487617114,2030,21
"1168",-0.30041294939222,2031,21
"1169",-0.275564476831185,2032,21
"1170",-0.255653889276058,2033,21
"1171",-0.24633435809247,2034,21
"1172",-0.24101745200371,2035,21
"1173",-0.240732178065429,2036,21
"1174",-0.235815007320471,2037,21
"1175",-0.23726283704357,2038,21
"1176",-0.233600411944337,2039,21
"1177",NA,1984,22
"1178",NA,1985,22
"1179",NA,1986,22
"1180",NA,1987,22
"1181",NA,1988,22
"1182",NA,1989,22
"1183",NA,1990,22
"1184",NA,1991,22
"1185",NA,1992,22
"1186",NA,1993,22
"1187",NA,1994,22
"1188",NA,1995,22
"1189",NA,1996,22
"1190",NA,1997,22
"1191",NA,1998,22
"1192",NA,1999,22
"1193",NA,2000,22
"1194",NA,2001,22
"1195",NA,2002,22
"1196",NA,2003,22
"1197",NA,2004,22
"1198",NA,2005,22
"1199",NA,2006,22
"1200",NA,2007,22
"1201",NA,2008,22
"1202",NA,2009,22
"1203",NA,2010,22
"1204",NA,2011,22
"1205",NA,2012,22
"1206",NA,2013,22
"1207",NA,2014,22
"1208",NA,2015,22
"1209",NA,2016,22
"1210",NA,2017,22
"1211",NA,2018,22
"1212",NA,2019,22
"1213",-0.124002049188684,2020,22
"1214",-0.159751901460551,2021,22
"1215",-0.188485751429518,2022,22
"1216",-0.222162623999133,2023,22
"1217",-0.2521756087374,2024,22
"1218",-0.278006630277259,2025,22
"1219",-0.302257965831957,2026,22
"1220",-0.347627228091778,2027,22
"1221",-0.357000084792067,2028,22
"1222",-0.336864089042404,2029,22
"1223",-0.308116413062448,2030,22
"1224",-0.282419376579755,2031,22
"1225",-0.256323304978501,2032,22
"1226",-0.243391012702022,2033,22
"1227",-0.229858126565767,2034,22
"1228",-0.222747231781477,2035,22
"1229",-0.217486000063039,2036,22
"1230",-0.218809033224411,2037,22
"1231",-0.217056271861723,2038,22
"1232",-0.217643996386597,2039,22
"1233",NA,1984,23
"1234",NA,1985,23
"1235",NA,1986,23
"1236",NA,1987,23
"1237",NA,1988,23
"1238",NA,1989,23
"1239",NA,1990,23
"1240",NA,1991,23
"1241",NA,1992,23
"1242",NA,1993,23
"1243",NA,1994,23
"1244",NA,1995,23
"1245",NA,1996,23
"1246",NA,1997,23
"1247",NA,1998,23
"1248",NA,1999,23
"1249",NA,2000,23
"1250",NA,2001,23
"1251",NA,2002,23
"1252",NA,2003,23
"1253",NA,2004,23
"1254",NA,2005,23
"1255",NA,2006,23
"1256",NA,2007,23
"1257",NA,2008,23
"1258",NA,2009,23
"1259",NA,2010,23
"1260",NA,2011,23
"1261",NA,2012,23
"1262",NA,2013,23
"1263",NA,2014,23
"1264",NA,2015,23
"1265",NA,2016,23
"1266",NA,2017,23
"1267",NA,2018,23
"1268",NA,2019,23
"1269",-0.127332233300738,2020,23
"1270",-0.176516729537497,2021,23
"1271",-0.213479907235097,2022,23
"1272",-0.241777585370314,2023,23
"1273",-0.263210443637203,2024,23
"1274",-0.277060003941795,2025,23
"1275",-0.274589389785327,2026,23
"1276",-0.29125984484157,2027,23
"1277",-0.284334890081093,2028,23
"1278",-0.277908749456405,2029,23
"1279",-0.270900057082655,2030,23
"1280",-0.266700982623323,2031,23
"1281",-0.26399250033379,2032,23
"1282",-0.263269285527685,2033,23
"1283",-0.262342766446194,2034,23
"1284",-0.259138572945673,2035,23
"1285",-0.258296189185211,2036,23
"1286",-0.252645498532784,2037,23
"1287",-0.249850640297096,2038,23
"1288",-0.24438608454621,2039,23
"1289",NA,1984,24
"1290",NA,1985,24
"1291",NA,1986,24
"1292",NA,1987,24
"1293",NA,1988,24
"1294",NA,1989,24
"1295",NA,1990,24
"1296",NA,1991,24
"1297",NA,1992,24
"1298",NA,1993,24
"1299",NA,1994,24
"1300",NA,1995,24
"1301",NA,1996,24
"1302",NA,1997,24
"1303",NA,1998,24
"1304",NA,1999,24
"1305",NA,2000,24
"1306",NA,2001,24
"1307",NA,2002,24
"1308",NA,2003,24
"1309",NA,2004,24
"1310",NA,2005,24
"1311",NA,2006,24
"1312",NA,2007,24
"1313",NA,2008,24
"1314",NA,2009,24
"1315",NA,2010,24
"1316",NA,2011,24
"1317",NA,2012,24
"1318",NA,2013,24
"1319",NA,2014,24
"1320",NA,2015,24
"1321",NA,2016,24
"1322",NA,2017,24
"1323",NA,2018,24
"1324",NA,2019,24
"1325",-0.126062499782338,2020,24
"1326",-0.161821084723806,2021,24
"1327",-0.201703081876826,2022,24
"1328",-0.223740843504892,2023,24
"1329",-0.239098104863372,2024,24
"1330",-0.258088559874273,2025,24
"1331",-0.269228384845135,2026,24
"1332",-0.312988128200084,2027,24
"1333",-0.342548275399165,2028,24
"1334",-0.361938221024054,2029,24
"1335",-0.369996418375178,2030,24
"1336",-0.375974745122013,2031,24
"1337",-0.376301849777496,2032,24
"1338",-0.383165748320277,2033,24
"1339",-0.379078319557434,2034,24
"1340",-0.36403219237259,2035,24
"1341",-0.335569940120618,2036,24
"1342",-0.304267411141196,2037,24
"1343",-0.267600927083105,2038,24
"1344",-0.239119594605876,2039,24
"1345",NA,1984,25
"1346",NA,1985,25
"1347",NA,1986,25
"1348",NA,1987,25
"1349",NA,1988,25
"1350",NA,1989,25
"1351",NA,1990,25
"1352",NA,1991,25
"1353",NA,1992,25
"1354",NA,1993,25
"1355",NA,1994,25
"1356",NA,1995,25
"1357",NA,1996,25
"1358",NA,1997,25
"1359",NA,1998,25
"1360",NA,1999,25
"1361",NA,2000,25
"1362",NA,2001,25
"1363",NA,2002,25
"1364",NA,2003,25
"1365",NA,2004,25
"1366",NA,2005,25
"1367",NA,2006,25
"1368",NA,2007,25
"1369",NA,2008,25
"1370",NA,2009,25
"1371",NA,2010,25
"1372",NA,2011,25
"1373",NA,2012,25
"1374",NA,2013,25
"1375",NA,2014,25
"1376",NA,2015,25
"1377",NA,2016,25
"1378",NA,2017,25
"1379",NA,2018,25
"1380",NA,2019,25
"1381",0.000764041853099292,2020,25
"1382",-0.00445856534647429,2021,25
"1383",-0.00248987504582035,2022,25
"1384",0.00845230592304861,2023,25
"1385",0.00979625581223467,2024,25
"1386",0.0085710690943644,2025,25
"1387",0.00866669956712765,2026,25
"1388",0.00587688865938131,2027,25
"1389",0.00498938138780803,2028,25
"1390",0.00433830147263704,2029,25
"1391",0.00208725680996991,2030,25
"1392",-0.00188714979675099,2031,25
"1393",-0.000804685339585101,2032,25
"1394",-0.000771045110686817,2033,25
"1395",-0.00086295626365813,2034,25
"1396",-0.000658698901912322,2035,25
"1397",-0.00207714988330937,2036,25
"1398",-0.00179910552408314,2037,25
"1399",-0.00236681078314019,2038,25
"1400",-0.000389461636797715,2039,25
"1401",NA,1984,26
"1402",NA,1985,26
"1403",NA,1986,26
"1404",NA,1987,26
"1405",NA,1988,26
"1406",NA,1989,26
"1407",NA,1990,26
"1408",NA,1991,26
"1409",NA,1992,26
"1410",NA,1993,26
"1411",NA,1994,26
"1412",NA,1995,26
"1413",NA,1996,26
"1414",NA,1997,26
"1415",NA,1998,26
"1416",NA,1999,26
"1417",NA,2000,26
"1418",NA,2001,26
"1419",NA,2002,26
"1420",NA,2003,26
"1421",NA,2004,26
"1422",NA,2005,26
"1423",NA,2006,26
"1424",NA,2007,26
"1425",NA,2008,26
"1426",NA,2009,26
"1427",NA,2010,26
"1428",NA,2011,26
"1429",NA,2012,26
"1430",NA,2013,26
"1431",NA,2014,26
"1432",NA,2015,26
"1433",NA,2016,26
"1434",NA,2017,26
"1435",NA,2018,26
"1436",NA,2019,26
"1437",0.00138068370586598,2020,26
"1438",-0.00476582597831295,2021,26
"1439",-0.00494214266246297,2022,26
"1440",0.00410680363156098,2023,26
"1441",0.00795714460015133,2024,26
"1442",0.00929346684383481,2025,26
"1443",0.0103454322587278,2026,26
"1444",0.00484107969285666,2027,26
"1445",0.00689590428542678,2028,26
"1446",0.00845233399794846,2029,26
"1447",0.00410729784227888,2030,26
"1448",1.8217141237839e-05,2031,26
"1449",-0.000198156259606087,2032,26
"1450",-0.00187539108736821,2033,26
"1451",-0.00106498740873872,2034,26
"1452",-0.000738971190116445,2035,26
"1453",-0.00096321337906094,2036,26
"1454",-0.00140534251852899,2037,26
"1455",-0.000138318057581512,2038,26
"1456",-0.000196096994847558,2039,26
"1457",NA,1984,27
"1458",NA,1985,27
"1459",NA,1986,27
"1460",NA,1987,27
"1461",NA,1988,27
"1462",NA,1989,27
"1463",NA,1990,27
"1464",NA,1991,27
"1465",NA,1992,27
"1466",NA,1993,27
"1467",NA,1994,27
"1468",NA,1995,27
"1469",NA,1996,27
"1470",NA,1997,27
"1471",NA,1998,27
"1472",NA,1999,27
"1473",NA,2000,27
"1474",NA,2001,27
"1475",NA,2002,27
"1476",NA,2003,27
"1477",NA,2004,27
"1478",NA,2005,27
"1479",NA,2006,27
"1480",NA,2007,27
"1481",NA,2008,27
"1482",NA,2009,27
"1483",NA,2010,27
"1484",NA,2011,27
"1485",NA,2012,27
"1486",NA,2013,27
"1487",NA,2014,27
"1488",NA,2015,27
"1489",NA,2016,27
"1490",NA,2017,27
"1491",NA,2018,27
"1492",NA,2019,27
"1493",0.00115449768595876,2020,27
"1494",-0.00552959222213017,2021,27
"1495",-0.00624693881676898,2022,27
"1496",0.00393265431794004,2023,27
"1497",0.0100725691074154,2024,27
"1498",0.010156372704895,2025,27
"1499",0.00950176524655945,2026,27
"1500",0.00869202669248624,2027,27
"1501",0.0085025722965518,2028,27
"1502",0.00974443471832095,2029,27
"1503",0.00339939432597285,2030,27
"1504",0.000793854356601727,2031,27
"1505",-0.000474218321238722,2032,27
"1506",-0.00221429339206954,2033,27
"1507",-0.00288462740731635,2034,27
"1508",-0.00270211065771024,2035,27
"1509",-0.0018674936057607,2036,27
"1510",-0.00154711060045742,2037,27
"1511",-0.00211345730449736,2038,27
"1512",-0.00384374958247129,2039,27
"1513",NA,1984,28
"1514",NA,1985,28
"1515",NA,1986,28
"1516",NA,1987,28
"1517",NA,1988,28
"1518",NA,1989,28
"1519",NA,1990,28
"1520",NA,1991,28
"1521",NA,1992,28
"1522",NA,1993,28
"1523",NA,1994,28
"1524",NA,1995,28
"1525",NA,1996,28
"1526",NA,1997,28
"1527",NA,1998,28
"1528",NA,1999,28
"1529",NA,2000,28
"1530",NA,2001,28
"1531",NA,2002,28
"1532",NA,2003,28
"1533",NA,2004,28
"1534",NA,2005,28
"1535",NA,2006,28
"1536",NA,2007,28
"1537",NA,2008,28
"1538",NA,2009,28
"1539",NA,2010,28
"1540",NA,2011,28
"1541",NA,2012,28
"1542",NA,2013,28
"1543",NA,2014,28
"1544",NA,2015,28
"1545",NA,2016,28
"1546",NA,2017,28
"1547",NA,2018,28
"1548",NA,2019,28
"1549",0.000496797421060658,2020,28
"1550",0.000112004174716058,2021,28
"1551",0.000353076360764348,2022,28
"1552",0.00202232679042299,2023,28
"1553",0.000583422088128133,2024,28
"1554",6.24881314607123e-05,2025,28
"1555",0.000622514793129739,2026,28
"1556",-0.000544385440368023,2027,28
"1557",-0.000838993232752333,2028,28
"1558",-0.00073446853711407,2029,28
"1559",0.000448441551164005,2030,28
"1560",0.00225756311068074,2031,28
"1561",0.00285606923472073,2032,28
"1562",0.00219979432903731,2033,28
"1563",0.00240976217020225,2034,28
"1564",0.00459368288263637,2035,28
"1565",0.00660651362526142,2036,28
"1566",0.00767671343608483,2037,28
"1567",0.0107975075432058,2038,28
"1568",0.0119802392018619,2039,28
"1569",NA,1984,29
"1570",NA,1985,29
"1571",NA,1986,29
"1572",NA,1987,29
"1573",NA,1988,29
"1574",NA,1989,29
"1575",NA,1990,29
"1576",NA,1991,29
"1577",NA,1992,29
"1578",NA,1993,29
"1579",NA,1994,29
"1580",NA,1995,29
"1581",NA,1996,29
"1582",NA,1997,29
"1583",NA,1998,29
"1584",NA,1999,29
"1585",NA,2000,29
"1586",NA,2001,29
"1587",NA,2002,29
"1588",NA,2003,29
"1589",NA,2004,29
"1590",NA,2005,29
"1591",NA,2006,29
"1592",NA,2007,29
"1593",NA,2008,29
"1594",NA,2009,29
"1595",NA,2010,29
"1596",NA,2011,29
"1597",NA,2012,29
"1598",NA,2013,29
"1599",NA,2014,29
"1600",NA,2015,29
"1601",NA,2016,29
"1602",NA,2017,29
"1603",NA,2018,29
"1604",NA,2019,29
"1605",-0.00254226397930529,2020,29
"1606",-0.00562252512957251,2021,29
"1607",-0.01996632326076,2022,29
"1608",-0.00718168970351945,2023,29
"1609",-0.00207912124838629,2024,29
"1610",0.00166592374048578,2025,29
"1611",0.00627358839964108,2026,29
"1612",0.00757658037364347,2027,29
"1613",0.00986909359923768,2028,29
"1614",0.0177016590606381,2029,29
"1615",0.0166385321032461,2030,29
"1616",0.0158478830332133,2031,29
"1617",0.0173601842719787,2032,29
"1618",0.0182550477889963,2033,29
"1619",0.0198587886938468,2034,29
"1620",0.0245983295632348,2035,29
"1621",0.0291510610423055,2036,29
"1622",0.0344242234133971,2037,29
"1623",0.0412497714957812,2038,29
"1624",0.0442173996458796,2039,29
"1625",NA,1984,30
"1626",NA,1985,30
"1627",NA,1986,30
"1628",NA,1987,30
"1629",NA,1988,30
"1630",NA,1989,30
"1631",NA,1990,30
"1632",NA,1991,30
"1633",NA,1992,30
"1634",NA,1993,30
"1635",NA,1994,30
"1636",NA,1995,30
"1637",NA,1996,30
"1638",NA,1997,30
"1639",NA,1998,30
"1640",NA,1999,30
"1641",NA,2000,30
"1642",NA,2001,30
"1643",NA,2002,30
"1644",NA,2003,30
"1645",NA,2004,30
"1646",NA,2005,30
"1647",NA,2006,30
"1648",NA,2007,30
"1649",NA,2008,30
"1650",NA,2009,30
"1651",NA,2010,30
"1652",NA,2011,30
"1653",NA,2012,30
"1654",NA,2013,30
"1655",NA,2014,30
"1656",NA,2015,30
"1657",NA,2016,30
"1658",NA,2017,30
"1659",NA,2018,30
"1660",NA,2019,30
"1661",0.00161250144386253,2020,30
"1662",-0.00651809867585579,2021,30
"1663",-0.0166146130914495,2022,30
"1664",-0.00372424580116965,2023,30
"1665",0.00221257447573778,2024,30
"1666",0.00578998741490194,2025,30
"1667",0.00841297754011552,2026,30
"1668",0.00893380574832358,2027,30
"1669",0.0127925364140757,2028,30
"1670",0.0185820234111597,2029,30
"1671",0.0186960103610552,2030,30
"1672",0.0188242639442654,2031,30
"1673",0.0203245551150297,2032,30
"1674",0.0203160879923855,2033,30
"1675",0.021925049813979,2034,30
"1676",0.0265722976093404,2035,30
"1677",0.0309553755144346,2036,30
"1678",0.0390636289947785,2037,30
"1679",0.0457666658382825,2038,30
"1680",0.0496588687365398,2039,30
"1681",NA,1984,31
"1682",NA,1985,31
"1683",NA,1986,31
"1684",NA,1987,31
"1685",NA,1988,31
"1686",NA,1989,31
"1687",NA,1990,31
"1688",NA,1991,31
"1689",NA,1992,31
"1690",NA,1993,31
"1691",NA,1994,31
"1692",NA,1995,31
"1693",NA,1996,31
"1694",NA,1997,31
"1695",NA,1998,31
"1696",NA,1999,31
"1697",NA,2000,31
"1698",NA,2001,31
"1699",NA,2002,31
"1700",NA,2003,31
"1701",NA,2004,31
"1702",NA,2005,31
"1703",NA,2006,31
"1704",NA,2007,31
"1705",NA,2008,31
"1706",NA,2009,31
"1707",NA,2010,31
"1708",NA,2011,31
"1709",NA,2012,31
"1710",NA,2013,31
"1711",NA,2014,31
"1712",NA,2015,31
"1713",NA,2016,31
"1714",NA,2017,31
"1715",NA,2018,31
"1716",NA,2019,31
"1717",0.000995134399549545,2020,31
"1718",-0.00502267453036536,2021,31
"1719",-0.0190934354236479,2022,31
"1720",-0.00615386810851942,2023,31
"1721",-0.000518997281406082,2024,31
"1722",0.00202305486798952,2025,31
"1723",0.00501124175850888,2026,31
"1724",0.00665660881787994,2027,31
"1725",0.0101258425228616,2028,31
"1726",0.0174584736664199,2029,31
"1727",0.0162438552277719,2030,31
"1728",0.0171570093787986,2031,31
"1729",0.0185822204003826,2032,31
"1730",0.0189501208309664,2033,31
"1731",0.0220398139801763,2034,31
"1732",0.025429635198737,2035,31
"1733",0.031234374982753,2036,31
"1734",0.0359844812772915,2037,31
"1735",0.0420947683501355,2038,31
"1736",0.0439717991217162,2039,31
"1737",NA,1984,32
"1738",NA,1985,32
"1739",NA,1986,32
"1740",NA,1987,32
"1741",NA,1988,32
"1742",NA,1989,32
"1743",NA,1990,32
"1744",NA,1991,32
"1745",NA,1992,32
"1746",NA,1993,32
"1747",NA,1994,32
"1748",NA,1995,32
"1749",NA,1996,32
"1750",NA,1997,32
"1751",NA,1998,32
"1752",NA,1999,32
"1753",NA,2000,32
"1754",NA,2001,32
"1755",NA,2002,32
"1756",NA,2003,32
"1757",NA,2004,32
"1758",NA,2005,32
"1759",NA,2006,32
"1760",NA,2007,32
"1761",NA,2008,32
"1762",NA,2009,32
"1763",NA,2010,32
"1764",NA,2011,32
"1765",NA,2012,32
"1766",NA,2013,32
"1767",NA,2014,32
"1768",NA,2015,32
"1769",NA,2016,32
"1770",NA,2017,32
"1771",NA,2018,32
"1772",NA,2019,32
"1773",0.000584488177436799,2020,32
"1774",0.00105862914791223,2021,32
"1775",-0.0146647606516251,2022,32
"1776",-0.0264789119099525,2023,32
"1777",-0.0298834635175464,2024,32
"1778",-0.0334626996431445,2025,32
"1779",-0.0354911685280643,2026,32
"1780",-0.0348674645391164,2027,32
"1781",-0.0351817991282063,2028,32
"1782",-0.0276743780793073,2029,32
"1783",-0.0263390750375032,2030,32
"1784",-0.0261493394475215,2031,32
"1785",-0.0224540085807396,2032,32
"1786",-0.0163962263791913,2033,32
"1787",-0.0102963283645644,2034,32
"1788",0.00102293789843202,2035,32
"1789",0.0209381688036006,2036,32
"1790",0.0416171686450596,2037,32
"1791",0.0572504735715783,2038,32
"1792",0.0723480235029765,2039,32
