"","SSBestratioreal","Fratioreal","Year","Scenario","OM","Rho","Frequency","HCR"
"1",0.102703256764288,2.47003754429348,2019,1,1,"No rho-adjustment","Two year updates",1
"2",0.102703256764288,2.47003754429348,2020,1,1,"No rho-adjustment","Two year updates",1
"3",0.176020006193535,0.15167472236413,2021,1,1,"No rho-adjustment","Two year updates",1
"4",0.176020006193535,0.15167472236413,2022,1,1,"No rho-adjustment","Two year updates",1
"5",0.376213924941311,0.261644832391304,2023,1,1,"No rho-adjustment","Two year updates",1
"6",0.376213924941311,0.261644832391304,2024,1,1,"No rho-adjustment","Two year updates",1
"7",0.655042785843415,0.539180117119565,2025,1,1,"No rho-adjustment","Two year updates",1
"8",0.655042785843415,0.539180117119565,2026,1,1,"No rho-adjustment","Two year updates",1
"9",0.903034365782633,0.744786261684782,2027,1,1,"No rho-adjustment","Two year updates",1
"10",0.903034365782633,0.744786261684782,2028,1,1,"No rho-adjustment","Two year updates",1
"11",1.15823052814043,0.750308179891304,2029,1,1,"No rho-adjustment","Two year updates",1
"12",1.15823052814043,0.750308179891304,2030,1,1,"No rho-adjustment","Two year updates",1
"13",1.39763109944809,0.745607179076087,2031,1,1,"No rho-adjustment","Two year updates",1
"14",1.39763109944809,0.745607179076087,2032,1,1,"No rho-adjustment","Two year updates",1
"15",1.39622010473011,0.74105195625,2033,1,1,"No rho-adjustment","Two year updates",1
"16",1.39622010473011,0.74105195625,2034,1,1,"No rho-adjustment","Two year updates",1
"17",1.36351690337588,0.745123424184783,2035,1,1,"No rho-adjustment","Two year updates",1
"18",1.36351690337588,0.745123424184783,2036,1,1,"No rho-adjustment","Two year updates",1
"19",1.31218543502938,0.747383390217391,2037,1,1,"No rho-adjustment","Two year updates",1
"20",1.31218543502938,0.747383390217391,2038,1,1,"No rho-adjustment","Two year updates",1
"21",1.22205713736554,0.737473201630435,2039,1,1,"No rho-adjustment","Two year updates",1
"22",1.22205713736554,0.737473201630435,2040,1,1,"No rho-adjustment","Two year updates",1
"23",0.102117900522021,2.49437215271739,2019,2,1,"No rho-adjustment","Two year updates",2
"24",0.102117900522021,2.49437215271739,2020,2,1,"No rho-adjustment","Two year updates",2
"25",0.172080963886552,0.2262460275,2021,2,1,"No rho-adjustment","Two year updates",2
"26",0.172080963886552,0.2262460275,2022,2,1,"No rho-adjustment","Two year updates",2
"27",0.36990101669676,0.197350658315217,2023,2,1,"No rho-adjustment","Two year updates",2
"28",0.36990101669676,0.197350658315217,2024,2,1,"No rho-adjustment","Two year updates",2
"29",0.653706621234709,0.28887301173913,2025,2,1,"No rho-adjustment","Two year updates",2
"30",0.653706621234709,0.28887301173913,2026,2,1,"No rho-adjustment","Two year updates",2
"31",0.896972966282969,0.512701893586957,2027,2,1,"No rho-adjustment","Two year updates",2
"32",0.896972966282969,0.512701893586957,2028,2,1,"No rho-adjustment","Two year updates",2
"33",1.22004709412077,0.713097601630435,2029,2,1,"No rho-adjustment","Two year updates",2
"34",1.22004709412077,0.713097601630435,2030,2,1,"No rho-adjustment","Two year updates",2
"35",1.44647201787339,0.738509121195652,2031,2,1,"No rho-adjustment","Two year updates",2
"36",1.44647201787339,0.738509121195652,2032,2,1,"No rho-adjustment","Two year updates",2
"37",1.44659212787317,0.737904834782609,2033,2,1,"No rho-adjustment","Two year updates",2
"38",1.44659212787317,0.737904834782609,2034,2,1,"No rho-adjustment","Two year updates",2
"39",1.37253256086344,0.749504636413043,2035,2,1,"No rho-adjustment","Two year updates",2
"40",1.37253256086344,0.749504636413043,2036,2,1,"No rho-adjustment","Two year updates",2
"41",1.31290770739582,0.747645627717391,2037,2,1,"No rho-adjustment","Two year updates",2
"42",1.31290770739582,0.747645627717391,2038,2,1,"No rho-adjustment","Two year updates",2
"43",1.21257900113317,0.744285404347826,2039,2,1,"No rho-adjustment","Two year updates",2
"44",1.21257900113317,0.744285404347826,2040,2,1,"No rho-adjustment","Two year updates",2
"45",0.103954381217165,2.43820120597826,2019,3,1,"No rho-adjustment","Two year updates",3
"46",0.103954381217165,2.43820120597826,2020,3,1,"No rho-adjustment","Two year updates",3
"47",0.175573221430856,0.688758649728261,2021,3,1,"No rho-adjustment","Two year updates",3
"48",0.175573221430856,0.688758649728261,2022,3,1,"No rho-adjustment","Two year updates",3
"49",0.333239703834648,0.677228886684783,2023,3,1,"No rho-adjustment","Two year updates",3
"50",0.333239703834648,0.677228886684783,2024,3,1,"No rho-adjustment","Two year updates",3
"51",0.547516016222835,0.663641129347826,2025,3,1,"No rho-adjustment","Two year updates",3
"52",0.547516016222835,0.663641129347826,2026,3,1,"No rho-adjustment","Two year updates",3
"53",0.792490040557039,0.650294706521739,2027,3,1,"No rho-adjustment","Two year updates",3
"54",0.792490040557039,0.650294706521739,2028,3,1,"No rho-adjustment","Two year updates",3
"55",1.12114150180106,0.665615240217391,2029,3,1,"No rho-adjustment","Two year updates",3
"56",1.12114150180106,0.665615240217391,2030,3,1,"No rho-adjustment","Two year updates",3
"57",1.39150204999825,0.685119900815217,2031,3,1,"No rho-adjustment","Two year updates",3
"58",1.39150204999825,0.685119900815217,2032,3,1,"No rho-adjustment","Two year updates",3
"59",1.45485867300085,0.712308445923913,2033,3,1,"No rho-adjustment","Two year updates",3
"60",1.45485867300085,0.712308445923913,2034,3,1,"No rho-adjustment","Two year updates",3
"61",1.38966297653666,0.746381675543478,2035,3,1,"No rho-adjustment","Two year updates",3
"62",1.38966297653666,0.746381675543478,2036,3,1,"No rho-adjustment","Two year updates",3
"63",1.32289408068398,0.737857056521739,2037,3,1,"No rho-adjustment","Two year updates",3
"64",1.32289408068398,0.737857056521739,2038,3,1,"No rho-adjustment","Two year updates",3
"65",1.23465270804524,0.741415179619565,2039,3,1,"No rho-adjustment","Two year updates",3
"66",1.23465270804524,0.741415179619565,2040,3,1,"No rho-adjustment","Two year updates",3
"67",0.102230701763041,2.46714098722826,2019,4,1,"No rho-adjustment","Two year updates",4
"68",0.102230701763041,2.46714098722826,2020,4,1,"No rho-adjustment","Two year updates",4
"69",0.173316598406114,0.956155116032609,2021,4,1,"No rho-adjustment","Two year updates",4
"70",0.173316598406114,0.956155116032609,2022,4,1,"No rho-adjustment","Two year updates",4
"71",0.327570148234137,0.71645565326087,2023,4,1,"No rho-adjustment","Two year updates",4
"72",0.327570148234137,0.71645565326087,2024,4,1,"No rho-adjustment","Two year updates",4
"73",0.566823678054632,0.301296716902174,2025,4,1,"No rho-adjustment","Two year updates",4
"74",0.566823678054632,0.301296716902174,2026,4,1,"No rho-adjustment","Two year updates",4
"75",0.883357822357054,0.239716565217391,2027,4,1,"No rho-adjustment","Two year updates",4
"76",0.883357822357054,0.239716565217391,2028,4,1,"No rho-adjustment","Two year updates",4
"77",1.34316745729693,0.217486752065217,2029,4,1,"No rho-adjustment","Two year updates",4
"78",1.34316745729693,0.217486752065217,2030,4,1,"No rho-adjustment","Two year updates",4
"79",1.80019028196106,0.220744062146739,2031,4,1,"No rho-adjustment","Two year updates",4
"80",1.80019028196106,0.220744062146739,2032,4,1,"No rho-adjustment","Two year updates",4
"81",2.00906070501072,0.243370380570652,2033,4,1,"No rho-adjustment","Two year updates",4
"82",2.00906070501072,0.243370380570652,2034,4,1,"No rho-adjustment","Two year updates",4
"83",2.03270111424933,0.314940532255435,2035,4,1,"No rho-adjustment","Two year updates",4
"84",2.03270111424933,0.314940532255435,2036,4,1,"No rho-adjustment","Two year updates",4
"85",1.94513488346105,0.430733943586957,2037,4,1,"No rho-adjustment","Two year updates",4
"86",1.94513488346105,0.430733943586957,2038,4,1,"No rho-adjustment","Two year updates",4
"87",1.70513685025695,0.586640218206522,2039,4,1,"No rho-adjustment","Two year updates",4
"88",1.70513685025695,0.586640218206522,2040,4,1,"No rho-adjustment","Two year updates",4
"89",0.178779432700054,1.7910601361413,2019,5,3,"No rho-adjustment","Two year updates",1
"90",0.178779432700054,1.7910601361413,2020,5,3,"No rho-adjustment","Two year updates",1
"91",0.235188641561258,0.310125053641304,2021,5,3,"No rho-adjustment","Two year updates",1
"92",0.235188641561258,0.310125053641304,2022,5,3,"No rho-adjustment","Two year updates",1
"93",0.398916766817782,0.231168002771739,2023,5,3,"No rho-adjustment","Two year updates",1
"94",0.398916766817782,0.231168002771739,2024,5,3,"No rho-adjustment","Two year updates",1
"95",0.581874058887067,0.305438212087912,2025,5,3,"No rho-adjustment","Two year updates",1
"96",0.581874058887067,0.305438212087912,2026,5,3,"No rho-adjustment","Two year updates",1
"97",0.791689350445428,0.598589821978022,2027,5,3,"No rho-adjustment","Two year updates",1
"98",0.791689350445428,0.598589821978022,2028,5,3,"No rho-adjustment","Two year updates",1
"99",0.891985617734181,1.06027876978022,2029,5,3,"No rho-adjustment","Two year updates",1
"100",0.891985617734181,1.06027876978022,2030,5,3,"No rho-adjustment","Two year updates",1
"101",0.799968566636277,1.71138278324176,2031,5,3,"No rho-adjustment","Two year updates",1
"102",0.799968566636277,1.71138278324176,2032,5,3,"No rho-adjustment","Two year updates",1
"103",0.700804981600462,1.7339914706044,2033,5,3,"No rho-adjustment","Two year updates",1
"104",0.700804981600462,1.7339914706044,2034,5,3,"No rho-adjustment","Two year updates",1
"105",0.683632704962561,1.16668901126374,2035,5,3,"No rho-adjustment","Two year updates",1
"106",0.683632704962561,1.16668901126374,2036,5,3,"No rho-adjustment","Two year updates",1
"107",0.742860725368618,0.910805041483516,2037,5,3,"No rho-adjustment","Two year updates",1
"108",0.742860725368618,0.910805041483516,2038,5,3,"No rho-adjustment","Two year updates",1
"109",0.753761827525977,0.905961538186813,2039,5,3,"No rho-adjustment","Two year updates",1
"110",0.753761827525977,0.905961538186813,2040,5,3,"No rho-adjustment","Two year updates",1
"111",0.177522938862677,1.79793124728261,2019,6,3,"No rho-adjustment","Two year updates",2
"112",0.177522938862677,1.79793124728261,2020,6,3,"No rho-adjustment","Two year updates",2
"113",0.235194670313347,0.40056061451087,2021,6,3,"No rho-adjustment","Two year updates",2
"114",0.235194670313347,0.40056061451087,2022,6,3,"No rho-adjustment","Two year updates",2
"115",0.384893731725666,0.37972771826087,2023,6,3,"No rho-adjustment","Two year updates",2
"116",0.384893731725666,0.37972771826087,2024,6,3,"No rho-adjustment","Two year updates",2
"117",0.523373430386279,0.500899094010989,2025,6,3,"No rho-adjustment","Two year updates",2
"118",0.523373430386279,0.500899094010989,2026,6,3,"No rho-adjustment","Two year updates",2
"119",0.668465200605234,0.85057878956044,2027,6,3,"No rho-adjustment","Two year updates",2
"120",0.668465200605234,0.85057878956044,2028,6,3,"No rho-adjustment","Two year updates",2
"121",0.766153225826644,1.40251970274725,2029,6,3,"No rho-adjustment","Two year updates",2
"122",0.766153225826644,1.40251970274725,2030,6,3,"No rho-adjustment","Two year updates",2
"123",0.719707600756263,1.80656086153846,2031,6,3,"No rho-adjustment","Two year updates",2
"124",0.719707600756263,1.80656086153846,2032,6,3,"No rho-adjustment","Two year updates",2
"125",0.670826096231224,1.61616134175824,2033,6,3,"No rho-adjustment","Two year updates",2
"126",0.670826096231224,1.61616134175824,2034,6,3,"No rho-adjustment","Two year updates",2
"127",0.682763399008959,1.24818298516484,2035,6,3,"No rho-adjustment","Two year updates",2
"128",0.682763399008959,1.24818298516484,2036,6,3,"No rho-adjustment","Two year updates",2
"129",0.692458050132015,1.08442712472527,2037,6,3,"No rho-adjustment","Two year updates",2
"130",0.692458050132015,1.08442712472527,2038,6,3,"No rho-adjustment","Two year updates",2
"131",0.684862784385909,1.11888878241758,2039,6,3,"No rho-adjustment","Two year updates",2
"132",0.684862784385909,1.11888878241758,2040,6,3,"No rho-adjustment","Two year updates",2
"133",0.179212796530842,1.78772217309783,2019,7,3,"No rho-adjustment","Two year updates",3
"134",0.179212796530842,1.78772217309783,2020,7,3,"No rho-adjustment","Two year updates",3
"135",0.234024935270387,0.817154310326087,2021,7,3,"No rho-adjustment","Two year updates",3
"136",0.234024935270387,0.817154310326087,2022,7,3,"No rho-adjustment","Two year updates",3
"137",0.325784562087192,0.944053371195652,2023,7,3,"No rho-adjustment","Two year updates",3
"138",0.325784562087192,0.944053371195652,2024,7,3,"No rho-adjustment","Two year updates",3
"139",0.403069151942851,1.11088067038043,2025,7,3,"No rho-adjustment","Two year updates",3
"140",0.403069151942851,1.11088067038043,2026,7,3,"No rho-adjustment","Two year updates",3
"141",0.499081752463761,1.24152163777174,2027,7,3,"No rho-adjustment","Two year updates",3
"142",0.499081752463761,1.24152163777174,2028,7,3,"No rho-adjustment","Two year updates",3
"143",0.679289605439205,1.19689104130435,2029,7,3,"No rho-adjustment","Two year updates",3
"144",0.679289605439205,1.19689104130435,2030,7,3,"No rho-adjustment","Two year updates",3
"145",0.778726407249605,1.15913182744565,2031,7,3,"No rho-adjustment","Two year updates",3
"146",0.778726407249605,1.15913182744565,2032,7,3,"No rho-adjustment","Two year updates",3
"147",0.78739219485285,1.14333758315217,2033,7,3,"No rho-adjustment","Two year updates",3
"148",0.78739219485285,1.14333758315217,2034,7,3,"No rho-adjustment","Two year updates",3
"149",0.769989595070399,1.10589327146739,2035,7,3,"No rho-adjustment","Two year updates",3
"150",0.769989595070399,1.10589327146739,2036,7,3,"No rho-adjustment","Two year updates",3
"151",0.756780462536067,1.18297435796703,2037,7,3,"No rho-adjustment","Two year updates",3
"152",0.756780462536067,1.18297435796703,2038,7,3,"No rho-adjustment","Two year updates",3
"153",0.729282720265187,1.16078448214286,2039,7,3,"No rho-adjustment","Two year updates",3
"154",0.729282720265187,1.16078448214286,2040,7,3,"No rho-adjustment","Two year updates",3
"155",0.178876357094218,1.79003670407609,2019,8,3,"No rho-adjustment","Two year updates",4
"156",0.178876357094218,1.79003670407609,2020,8,3,"No rho-adjustment","Two year updates",4
"157",0.236640426049696,0.632164485326087,2021,8,3,"No rho-adjustment","Two year updates",4
"158",0.236640426049696,0.632164485326087,2022,8,3,"No rho-adjustment","Two year updates",4
"159",0.373427322965897,0.447549312472826,2023,8,3,"No rho-adjustment","Two year updates",4
"160",0.373427322965897,0.447549312472826,2024,8,3,"No rho-adjustment","Two year updates",4
"161",0.53235719151342,0.332848549038462,2025,8,3,"No rho-adjustment","Two year updates",4
"162",0.53235719151342,0.332848549038462,2026,8,3,"No rho-adjustment","Two year updates",4
"163",0.777694120224309,0.344801007692308,2027,8,3,"No rho-adjustment","Two year updates",4
"164",0.777694120224309,0.344801007692308,2028,8,3,"No rho-adjustment","Two year updates",4
"165",1.10474741123528,0.347773005247253,2029,8,3,"No rho-adjustment","Two year updates",4
"166",1.10474741123528,0.347773005247253,2030,8,3,"No rho-adjustment","Two year updates",4
"167",1.30645644098033,0.408723175384615,2031,8,3,"No rho-adjustment","Two year updates",4
"168",1.30645644098033,0.408723175384615,2032,8,3,"No rho-adjustment","Two year updates",4
"169",1.32869328882774,0.560022932967033,2033,8,3,"No rho-adjustment","Two year updates",4
"170",1.32869328882774,0.560022932967033,2034,8,3,"No rho-adjustment","Two year updates",4
"171",1.152062674014,0.871889325824176,2035,8,3,"No rho-adjustment","Two year updates",4
"172",1.152062674014,0.871889325824176,2036,8,3,"No rho-adjustment","Two year updates",4
"173",0.933576897727904,1.31298322994506,2037,8,3,"No rho-adjustment","Two year updates",4
"174",0.933576897727904,1.31298322994506,2038,8,3,"No rho-adjustment","Two year updates",4
"175",0.735012590251339,1.65421144038462,2039,8,3,"No rho-adjustment","Two year updates",4
"176",0.735012590251339,1.65421144038462,2040,8,3,"No rho-adjustment","Two year updates",4
"177",0.107942867528465,2.26139623021978,2019,9,4,"No rho-adjustment","Two year updates",1
"178",0.107942867528465,2.26139623021978,2020,9,4,"No rho-adjustment","Two year updates",1
"179",0.189518597436643,0.163446005769231,2021,9,4,"No rho-adjustment","Two year updates",1
"180",0.189518597436643,0.163446005769231,2022,9,4,"No rho-adjustment","Two year updates",1
"181",0.386146657109829,0.160260485686813,2023,9,4,"No rho-adjustment","Two year updates",1
"182",0.386146657109829,0.160260485686813,2024,9,4,"No rho-adjustment","Two year updates",1
"183",0.638095361449625,0.275852881978022,2025,9,4,"No rho-adjustment","Two year updates",1
"184",0.638095361449625,0.275852881978022,2026,9,4,"No rho-adjustment","Two year updates",1
"185",0.868165107148147,0.534970428131868,2027,9,4,"No rho-adjustment","Two year updates",1
"186",0.868165107148147,0.534970428131868,2028,9,4,"No rho-adjustment","Two year updates",1
"187",1.16140915783198,0.705225112912088,2029,9,4,"No rho-adjustment","Two year updates",1
"188",1.16140915783198,0.705225112912088,2030,9,4,"No rho-adjustment","Two year updates",1
"189",1.43453211605817,0.742818800274725,2031,9,4,"No rho-adjustment","Two year updates",1
"190",1.43453211605817,0.742818800274725,2032,9,4,"No rho-adjustment","Two year updates",1
"191",1.52937138461288,0.747172409340659,2033,9,4,"No rho-adjustment","Two year updates",1
"192",1.52937138461288,0.747172409340659,2034,9,4,"No rho-adjustment","Two year updates",1
"193",1.41418621212602,0.787675821428571,2035,9,4,"No rho-adjustment","Two year updates",1
"194",1.41418621212602,0.787675821428571,2036,9,4,"No rho-adjustment","Two year updates",1
"195",1.19805188906837,0.797331266208791,2037,9,4,"No rho-adjustment","Two year updates",1
"196",1.19805188906837,0.797331266208791,2038,9,4,"No rho-adjustment","Two year updates",1
"197",0.998073707390007,0.803073869505495,2039,9,4,"No rho-adjustment","Two year updates",1
"198",0.998073707390007,0.803073869505495,2040,9,4,"No rho-adjustment","Two year updates",1
"199",0.106811663089928,2.30803470989011,2019,10,4,"No rho-adjustment","Two year updates",2
"200",0.106811663089928,2.30803470989011,2020,10,4,"No rho-adjustment","Two year updates",2
"201",0.187375058209053,0.237478410247253,2021,10,4,"No rho-adjustment","Two year updates",2
"202",0.187375058209053,0.237478410247253,2022,10,4,"No rho-adjustment","Two year updates",2
"203",0.379344239715733,0.206410114038462,2023,10,4,"No rho-adjustment","Two year updates",2
"204",0.379344239715733,0.206410114038462,2024,10,4,"No rho-adjustment","Two year updates",2
"205",0.636763434350403,0.307846927335165,2025,10,4,"No rho-adjustment","Two year updates",2
"206",0.636763434350403,0.307846927335165,2026,10,4,"No rho-adjustment","Two year updates",2
"207",0.867599753996583,0.539319206868132,2027,10,4,"No rho-adjustment","Two year updates",2
"208",0.867599753996583,0.539319206868132,2028,10,4,"No rho-adjustment","Two year updates",2
"209",1.14440172790101,0.711070360714286,2029,10,4,"No rho-adjustment","Two year updates",2
"210",1.14440172790101,0.711070360714286,2030,10,4,"No rho-adjustment","Two year updates",2
"211",1.4243472011741,0.75763665989011,2031,10,4,"No rho-adjustment","Two year updates",2
"212",1.4243472011741,0.75763665989011,2032,10,4,"No rho-adjustment","Two year updates",2
"213",1.49963129483752,0.775165542032967,2033,10,4,"No rho-adjustment","Two year updates",2
"214",1.49963129483752,0.775165542032967,2034,10,4,"No rho-adjustment","Two year updates",2
"215",1.37134741712263,0.779440109340659,2035,10,4,"No rho-adjustment","Two year updates",2
"216",1.37134741712263,0.779440109340659,2036,10,4,"No rho-adjustment","Two year updates",2
"217",1.19319089057743,0.829422494505495,2037,10,4,"No rho-adjustment","Two year updates",2
"218",1.19319089057743,0.829422494505495,2038,10,4,"No rho-adjustment","Two year updates",2
"219",0.981518786253395,0.826236398076923,2039,10,4,"No rho-adjustment","Two year updates",2
"220",0.981518786253395,0.826236398076923,2040,10,4,"No rho-adjustment","Two year updates",2
"221",0.107897422822431,2.28632841593407,2019,11,4,"No rho-adjustment","Two year updates",3
"222",0.107897422822431,2.28632841593407,2020,11,4,"No rho-adjustment","Two year updates",3
"223",0.190164760989188,0.672221610989011,2021,11,4,"No rho-adjustment","Two year updates",3
"224",0.190164760989188,0.672221610989011,2022,11,4,"No rho-adjustment","Two year updates",3
"225",0.34735518179803,0.656379227472527,2023,11,4,"No rho-adjustment","Two year updates",3
"226",0.34735518179803,0.656379227472527,2024,11,4,"No rho-adjustment","Two year updates",3
"227",0.51698836826254,0.697052798901099,2025,11,4,"No rho-adjustment","Two year updates",3
"228",0.51698836826254,0.697052798901099,2026,11,4,"No rho-adjustment","Two year updates",3
"229",0.709558695274367,0.695894068681319,2027,11,4,"No rho-adjustment","Two year updates",3
"230",0.709558695274367,0.695894068681319,2028,11,4,"No rho-adjustment","Two year updates",3
"231",1.01711994991443,0.683156818681319,2029,11,4,"No rho-adjustment","Two year updates",3
"232",1.01711994991443,0.683156818681319,2030,11,4,"No rho-adjustment","Two year updates",3
"233",1.34247705240047,0.694124411538461,2031,11,4,"No rho-adjustment","Two year updates",3
"234",1.34247705240047,0.694124411538461,2032,11,4,"No rho-adjustment","Two year updates",3
